Abbreviation,Meaning
API,Application programming interface
AR50,"NIBIO's national land cover dataset with 50 m resolution"
BOF5,"Biological oxygen demand over 5 days (""biokjemisk oksygenforbruk"")"
C,Carbon
DIN,Dissolved inorganic nitrogen
DOC,Dissolved organic carbon
EMEP,European Monitoring and Evaluation Programme
GES,Good Ecological Status
GTS, Grid Time Series (API provided by NVE)
KOF,"Chemical oxygen demand (""kjemisk oksygenforbruk"")"
MAD, Median absolute deviation
N,Nitrogen
NIBIO,Norsk institutt for bioøkonomi
NIVA,Norsk institutt for vannforskning
NVE,Norges vassdrags- og energidirektorat
OSPAR,"Oslo-Paris agreement to protect the marine environment of the North-eastern Atlantic Ocean"
P,Phosphorus
p.e.,Person equivalents
RMSE,Root mean square error
SS,Suspended sediment
SSB,Statistisk Sentralbyrå
TDP,Total dissolved phosphorus
TOC,Total organic carbon
TON,Total organic nitrogen
TOTN,Total nitrogen
TOTP,Total phosphorus
TPP,Total particulate phosphorus
WFD,"European Water Framework Directive (Vannforskriften)"
