regine,year,TOTN_kg,DIN_kg,TON_kg,TOTP_kg,TDP_kg,TPP_kg,TOC_kg,SS_kg
002.C5,2013,0.14325000000000002,0.0931125,0.0501375,0.021487500000000003,0.007090875000000001,0.014396625000000001,0.329475,0.8356250000000001
002.C5,2014,0.14325000000000002,0.0931125,0.0501375,0.021487500000000003,0.007090875000000001,0.014396625000000001,0.329475,0.8356250000000001
002.C5,2015,0.14325000000000002,0.0931125,0.0501375,0.021487500000000003,0.007090875000000001,0.014396625000000001,0.329475,0.8356250000000001
002.C5,2016,0.14325000000000002,0.0931125,0.0501375,0.021487500000000003,0.007090875000000001,0.014396625000000001,0.329475,0.8356250000000001
002.C5,2017,0.14325000000000002,0.0931125,0.0501375,0.021487500000000003,0.007090875000000001,0.014396625000000001,0.329475,0.8356250000000001
002.C5,2018,0.14325000000000002,0.0931125,0.0501375,0.021487500000000003,0.007090875000000001,0.014396625000000001,0.329475,0.8356250000000001
002.C5,2019,0.14325000000000002,0.0931125,0.0501375,0.021487500000000003,0.007090875000000001,0.014396625000000001,0.329475,0.8356250000000001
002.C5,2020,2.4125,1.568125,0.8443749999999999,0.361875,0.11941875000000002,0.24245625,5.54875,14.072916666666666
002.C5,2021,0.052750000000000005,0.034287500000000005,0.0184625,0.007912500000000001,0.0026111250000000006,0.0053013750000000005,0.121325,0.30770833333333336
002.C5,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.C5,2023,0.4125,0.268125,0.14437499999999998,0.061875,0.02041875,0.04145625,0.9487500000000001,2.40625
002.C5,2024,0.23375,0.1519375,0.0818125,0.0350625,0.011570625000000001,0.023491875000000002,0.537625,1.3635416666666667
002.C5,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.C7,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.C7,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.C7,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.C7,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.C7,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.C7,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.C7,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.C7,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.C7,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.C7,2022,0.41054999999999997,0.26685749999999997,0.14369249999999997,0.06158249999999999,0.020322225,0.041260275,0.9442649999999999,2.3948749999999994
002.C7,2023,0.04025,0.0261625,0.0140875,0.0060374999999999995,0.001992375,0.004045125,0.09257499999999999,0.23479166666666662
002.C7,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.C7,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.CA1,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.CA1,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.CA1,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.CA1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.CA1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.CA1,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.CA1,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.CA1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.CA1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.CA1,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.CA1,2023,0.08244,0.053586,0.028853999999999998,0.012366,0.00408078,0.008285220000000001,0.18961199999999998,0.4809
002.CA1,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.CA1,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.CA3,2013,77.600925,50.44060125,27.16032375,11.640138749999998,3.8412457875,7.7988929625,178.48212750000002,452.67206250000004
002.CA3,2014,77.600925,50.44060125,27.16032375,11.640138749999998,3.8412457875,7.7988929625,178.48212750000002,452.67206250000004
002.CA3,2015,77.600925,50.44060125,27.16032375,11.640138749999998,3.8412457875,7.7988929625,178.48212750000002,452.67206250000004
