regine,TOTN_kg,TOTP_kg,SS_kg,DIN_kg,TON_kg,TPP_kg,TDP_kg,TOC_kg
001.GAA,48.6513,6.5580637500000005,164.910375,34.5928275,14.0584725,2.5103084625000003,4.0477552875,128.8602
002.C3,963.7669125,114.67571625000001,3080.88375,722.70958275,241.05732975,48.9555349875,65.7201812625,2600.5982624999997
002.C5,1665.649575,212.59878468750003,5426.38228125,1210.64705775,455.00251725,84.6636168375,127.93516785000001,4411.4895
002.C7,1067.1070949999998,139.035882375,3530.9995875,774.78181425,292.32528075,55.3684995225,83.66738285250001,2833.8724799999995
002.CA3,209.23346249999997,18.909905625,612.9808125,171.467343,37.7661195,9.82485061875,9.08505500625,546.25876875
002.CAA0,1896.7651649999998,185.1970905,5973.974212499999,1506.04241085,390.72275415,100.48649886,84.71059164,5149.312762499999
002.CAAA0,413.20732499999997,49.06220625,1324.3964999999998,308.66291325,104.54441175,20.2170805875,28.845125662500003,1091.6957249999998
002.CAB1,96.26163749999999,7.31413125,232.66424999999995,83.925684,12.3359535,4.74473446875,2.56939678125,269.30795624999996
002.CB0,11.231437499999998,1.6847156250000002,41.5471875,7.604505,3.6269324999999997,0.64224646875,1.0424691562500001,29.99615625
002.CBA0,10.1356875,1.5203531250000002,35.1553125,6.8922675,3.24342,0.5321235937500001,0.9882295312500001,26.70890625
002.CC0,677.0639249999999,84.350835,2311.3019999999997,495.22530825,181.83861675,35.33070555,49.020129450000006,1817.6848874999998
002.D1,1259.3290387499999,174.3220456875,4714.647,891.568492875,367.760545875,80.28712011375,94.03492557375002,3570.8739299999997
002.D21,389.3747625,38.238935624999996,1395.9855,304.92640574999996,84.44835674999999,22.86339901875,15.375536606250002,1067.45225625
002.D22,57.307725,6.1677028125,156.28134375,46.637311499999996,10.6704135,3.1057938000000003,3.0619090125,155.98001249999996
002.D2Z,2580.5022074999997,232.7874305625,7609.591106249999,2093.8603473,486.6418602,130.76123311125,102.02619745125001,6971.681981249999
002.D31,270.8694,36.7473459375,867.69703125,197.00817975,73.86122025,14.677242525000002,22.070103412500004,750.4791749999999
002.D32,312.9462,46.48582406250001,1111.22746875,214.50511575,98.44108425,17.2914280875,29.194395975000003,851.39775
002.D3Z,3197.96281125,399.87752625,9551.69840625,2426.300268525,771.662542725,181.2331600875,218.64436616250003,8725.19974875
002.D4,410.3693325,45.2917305,1157.6964,324.1513395,86.21799299999999,23.86407079125,21.427659708750003,1146.00657375
002.D6,120.2585625,16.2513421875,349.95515625,87.92407575,32.33448675,6.60942703125,9.64191515625,324.20503124999993
